Station Name,Venue Name,Distance,Primary Category
Alfred-Böhm-Park,Laa Restaurant und Bar,99,Dining and Drinking
Alfred-Böhm-Park,Eurest Restaurant,140,Dining and Drinking
Alfred-Böhm-Park,Greissler,276,Deli
Alfred-Böhm-Park,Pizzanista!,399,Pizzeria
Alfred-Böhm-Park,Subway,407,Deli
Alfred-Böhm-Park,Gölsentaler‘s Beisl,409,Austrian Restaurant
Alfred-Böhm-Park,Cafe City X,548,Café
Alfred-Böhm-Park,China-Restaurant Jade,905,Asian Restaurant
Altes Landgut U1,Burger King,137,Burger Joint
Altes Landgut U1,Cafe City X,272,Café
Altes Landgut U1,McDonald's,314,Burger Joint
Altes Landgut U1,Da Campo,358,Café
Altes Landgut U1,Campina,369,Café
Altes Landgut U1,Viola Pub,372,Austrian Restaurant
Altes Landgut U1,Cafetteria,390,Café
Altes Landgut U1,Subway,395,Deli
Altes Landgut U1,Gölsentaler‘s Beisl,503,Austrian Restaurant
Bloch-Bauer-Promenade,Mimi Im Stadtelefant,101,Modern European Restaurant
Bloch-Bauer-Promenade,Wien Seyidoğlu Baklavalari 2,177,Pastry Shop
Bloch-Bauer-Promenade,Carpatia - Alimente Românești,301,Eastern European Restaurant
Bloch-Bauer-Promenade,URBAN's Lounge Restaurant,424,Dining and Drinking
Bloch-Bauer-Promenade,Anker Gellertplatz,475,Bakery
Bloch-Bauer-Promenade,Tadim Pizza,484,Fast Food Restaurant
Bloch-Bauer-Promenade,Casa Frascati,485,Pizzeria
Bloch-Bauer-Promenade,Cafe Tennis Arsenal,489,Café
Hauptbahnhof S U ,Heberer,54,Bakery
Hauptbahnhof S U ,Burger Bros,65,Burger Joint
Hauptbahnhof S U ,Le Crobag,69,Bakery
Hauptbahnhof S U ,Ströck,69,Bakery
Hauptbahnhof S U ,Leberkas-Pepi,70,Austrian Restaurant
Hauptbahnhof S U ,McCafe,71,Café
Hauptbahnhof S U ,Asiagourmet,77,Asian Restaurant
Hauptbahnhof S U ,Felber,78,Bakery
Hauptbahnhof S U ,McDonald's,81,Burger Joint
Hauptbahnhof S U ,Ramen&Co,82,Ramen Restaurant
Keplerplatz U1,Back Werk,19,Bagel Shop
Keplerplatz U1,Würstelstand Keplerplatz,44,BBQ Joint
Keplerplatz U1,Cafe At Keplerplatz,59,Café
Keplerplatz U1,Dürüm,64,Turkish Restaurant
Keplerplatz U1,Anker,70,Bakery
Keplerplatz U1,McDonald's,72,Burger Joint
Keplerplatz U1,Kebap Noodles,98,Fast Food Restaurant
Keplerplatz U1,Günay Restaurant,117,Turkish Restaurant
Keplerplatz U1,Frei Wild,122,Gastropub
Keplerplatz U1,Cafe Caktus 1,127,Café
Puchsbaumgasse,Lakaloo's,59,Bakery
Puchsbaumgasse,Magdas Kantine,75,Café
Puchsbaumgasse,Schnitzelhaus Quellenstrasse,202,Fast Food Restaurant
Puchsbaumgasse,Purki's Eck Beisl,218,Diner
Puchsbaumgasse,Geflügelimbiß - Latak GmbH,251,Buffet
Puchsbaumgasse,Tomato,325,Italian Restaurant
Puchsbaumgasse,Restaurant Pizzeria Stefan,327,Gastropub
Puchsbaumgasse,Caffe Bar Boemi,423,Café
Puchsbaumgasse,Eurest Restaurant,479,Dining and Drinking
