Station Name,Venue Name,Distance,Ratings,Review Count,Primary Category
Taborstraße U2,Leopold,262.4695399897751,4.0,28,Gastropubs
Taborstraße U2,Schöne Perle,380.6037418021576,3.5,67,Austrian
Taborstraße U2,Das LOFT,532.1404173519048,3.5,104,Bars
Taborstraße U2,Tachles,482.7815294785435,4.0,27,Bars
Taborstraße U2,Bricks,108.39468726097665,3.5,14,Bars
Taborstraße U2,La Massa,315.3995400682675,4.5,7,Pizza
Taborstraße U2,Schuppich,250.39232370983973,4.5,9,Italian
Taborstraße U2,Fischrestaurant Kaj,453.0257293778538,4.5,12,Seafood
Taborstraße U2,Lhotzkys Literaturbuffet,199.33142324501875,5.0,8,Bookstores
Taborstraße U2,el Hans,364.26686044492436,4.5,11,Spanish
Taborstraße U2,Skopik & Lohn,414.6081048738823,4.0,41,Austrian
Taborstraße U2,Weinschenke,432.43420250107687,4.5,8,Burgers
Taborstraße U2,Tewa am Karmelitermarkt,447.038487432933,4.0,18,International
Taborstraße U2,Bahur Tov,352.01589970736273,5.0,6,Kosher
Erdberg U3,Marx,176.40893599685577,4.0,8,Lounges
Erdberg U3,Raimund Korner,35.1827711047114,5.0,4,Landmarks & Historical Buildings
Erdberg U3,Gasthaus Schmitzberger,359.3059382688792,4.0,12,Gastropubs
Erdberg U3,Peccino,29.871439675648933,3.0,1,Italian
Erdberg U3,GUSTO,361.76315962363606,5.0,1,Bistros
Erdberg U3,Arena Beisl,346.45853010701546,4.5,2,Dive Bars
Erdberg U3,Siegfried Scherleithner,215.37944648101606,2.0,1,Bakeries
Erdberg U3,"Pizzeria Restaurant Peccino-, El Pasha",215.37944648101606,2.0,2,Pizza
Erdberg U3,Yellow Deli,395.3985293289285,5.0,1,Thai
Erdberg U3,Dussmann's Bistro,498.3220290278504,3.0,1,Bistros
Media Quarter Marx,Marx Restauration,33.6071790469112,3.5,5,Austrian
Media Quarter Marx,O'Connor's,330.5953172181415,4.0,33,Irish Pub
Media Quarter Marx,East End,50.22919682177582,3.5,4,International
Media Quarter Marx,Willkommen Österreich,38.67686119583375,3.5,4,Local Flavor
Media Quarter Marx,The Nice Guys,73.43192743545158,2.0,1,Bars
Media Quarter Marx,Gasthaus Schmitzberger,477.22651434844886,4.0,12,Gastropubs
Media Quarter Marx,Satraj,652.7897851946391,4.5,4,Indian
Media Quarter Marx,Ristorante Paolo,546.309304249361,4.0,8,Pizza
Media Quarter Marx,T-Lunch,282.58993293866104,4.0,2,Canteen
Media Quarter Marx,San,518.170569600002,5.0,1,Japanese
Media Quarter Marx,Accademia Del Caffe Gastronomiebetriebs,508.88392292559666,5.0,2,Coffee & Tea
Media Quarter Marx,Alois Sagmeister,527.10648985598,5.0,2,Hotels
Heumühlgasse,Zweitbester,19.602521702160626,4.0,35,Breakfast & Brunch
Heumühlgasse,Taste of India,117.09277818329294,4.5,45,Indian
Heumühlgasse,Aromat,130.18485621144757,4.5,20,Creperies
Heumühlgasse,Sixta,306.65504217128375,5.0,38,Austrian
Heumühlgasse,Vollpension,296.0999511749355,4.0,88,Cafes
Heumühlgasse,Wieden Bräu - Gastronomie mit Pfiff,233.124729415788,3.5,44,Breweries
Heumühlgasse,Der Hannes,167.73494664289902,4.5,23,Bars
Heumühlgasse,Bangkok,529.6309308468573,4.5,69,Thai
Heumühlgasse,Neni,298.4466308412389,3.5,122,Middle Eastern
Heumühlgasse,Cafe Drechsler,353.46528528403985,4.0,48,Cafes
Heumühlgasse,The Breakfast Club,281.65602901910125,4.5,100,Breakfast & Brunch
Heumühlgasse,Waldviertlerhof,386.6913536070126,4.5,36,Austrian
Heumühlgasse,Mama Liu & Sons,522.0560648140628,4.0,47,Dim Sum
Heumühlgasse,Zum Alten Fassl,472.0547688413164,4.5,32,Austrian
Heumühlgasse,Veganista,215.7848663487957,4.5,23,Ice Cream & Frozen Yogurt
Heumühlgasse,Bamboo,215.7848663487957,3.5,37,Chinese
Heumühlgasse,Santos,380.57483886369545,4.0,35,Mexican
Heumühlgasse,Johnny's,242.41119875643818,4.0,32,Irish Pub
Heumühlgasse,Deli,331.6190794460592,4.0,52,Cafes
Heumühlgasse,Blueorange,265.426280253449,4.0,53,Cafes
Margaretengürtel U4,Mini,562.1650952661198,4.5,72,International
Margaretengürtel U4,Das Rupp's,504.4438126777099,4.5,23,Bars
Margaretengürtel U4,Disco Volante,412.7281133905906,4.0,37,Italian
Margaretengürtel U4,le Pho,522.9609671524382,4.0,54,Vietnamese
Margaretengürtel U4,Thai Kitchen Restaurant,246.08036961461164,4.5,5,Thai
Margaretengürtel U4,Thai Isaan Kitchen,618.9070338417635,4.0,52,Thai
Margaretengürtel U4,Travel Shack,647.6369186515403,3.5,30,Pubs
Margaretengürtel U4,Xin Chao Vietnamese Cuisine,213.45487302283058,4.0,4,Vietnamese
Margaretengürtel U4,Nam Nam,514.8710822215152,3.5,47,Indian
Margaretengürtel U4,Dublin,591.8144128595646,4.0,14,Irish Pub
Margaretengürtel U4,Burger King,388.5019421607375,4.5,9,Fast Food
Margaretengürtel U4,Der Mann,133.58050468733344,4.5,2,Coffee & Tea
Margaretengürtel U4,Bruno-Kreisky-Park,68.9416822983891,3.5,7,Parks
Margaretengürtel U4,Mobil WC,60.78743104676057,4.0,1,Life Coach
Margaretengürtel U4,Donaudelta,469.62723331079445,4.0,8,Restaurants
Margaretengürtel U4,Cafe Gschamster Diener,493.4182965891204,4.5,7,Austrian
Margaretengürtel U4,Vespici veri,178.6364132265753,5.0,1,Wine Bars
Margaretengürtel U4,Türkenkugelhaus,90.02693386050834,5.0,1,Landmarks & Historical Buildings
Margaretengürtel U4,Pizza John,109.68499284997547,3.0,5,Pizza
Margaretengürtel U4,Edo Sushi,494.09245832384454,4.5,12,Chinese
Mittersteig,Zum Alten Fassl,205.7825397094183,4.5,32,Austrian
Mittersteig,Silberwirt,217.5400539790024,4.0,45,Austrian
Mittersteig,Cuadro,256.9195361879523,4.0,50,International
Mittersteig,Sixta,492.1900142297429,5.0,38,Austrian
Mittersteig,Gergely's Essen zum Quadrat,248.67462661609412,4.5,15,Austrian
Mittersteig,Waldviertlerhof,481.47186689692575,4.5,36,Austrian
Mittersteig,Budapest Bistro,419.42282542764775,4.5,22,Bistros
Mittersteig,Rudi's Beisl,317.60770099103786,4.5,27,Beisl
Mittersteig,Trattoria Margareta,282.53834317911554,4.0,20,Italian
Mittersteig,Motto,466.70551725856774,4.0,41,Bars
Mittersteig,Seasons,84.17513119196092,4.5,2,Bulgarian
Mittersteig,Entler,617.8651771880981,4.5,30,Austrian
Mittersteig,ON,439.58868301973894,4.0,34,Chinese
Mittersteig,Werkzeug H,431.02517997149454,4.0,38,Bars
Mittersteig,Veganista,441.0319758114417,4.5,23,Ice Cream & Frozen Yogurt
Mittersteig,Bamboo,441.0319758114417,3.5,37,Chinese
Mittersteig,Zum Stöger,482.4262858478022,4.5,14,Austrian
Mittersteig,Mosquito Mexican Restaurant Cocktailbar,320.0077266260965,4.0,9,Cocktail Bars
Mittersteig,Schlossquadrat,211.72191052224002,4.0,11,Pubs
Mittersteig,Schlupfwinkel,397.7195022290999,4.0,9,Beisl
Berggasse,Pizza Riva,156.52617626039657,4.0,53,Pizza
Berggasse,Gasthaus Rebhuhn,182.00239019567564,4.0,45,Gastropubs
Berggasse,Die Serviette,131.83136563899126,4.5,15,Austrian
Berggasse,Porzellan,145.04089792443094,4.0,22,Bars
Berggasse,Oasia,144.28083260495106,4.0,11,Pan Asian
Berggasse,La Pasteria,183.8246772855012,4.5,8,Italian
Berggasse,Suppenwirtschaft,157.2501350930604,4.0,13,Soup
Berggasse,Jonas Reindl Coffee,571.7377997306207,4.5,71,Cafes
Berggasse,Summerstage,304.63984408509623,4.0,12,Restaurants
Berggasse,Roth,570.9988302156744,4.5,15,German
Berggasse,Motiwirtin,446.02883664357955,4.5,17,Austrian
Berggasse,Zum braunen Bär,59.35934149559327,4.0,8,Beisl
Berggasse,Der Wiener Deewan,356.93098418861155,4.0,84,Pakistani
Berggasse,Fresco Grill,358.6528125245747,3.5,47,Mexican
Berggasse,Café Français,556.2424620661444,4.0,42,French
Berggasse,Restaurant Hansen,411.44631769797826,4.5,18,International
Berggasse,Livingstone,423.5136239789565,4.0,28,Steakhouses
Berggasse,Ristorante Scala,131.83136563899126,3.5,7,Pizza
Berggasse,Pasta... e Basta,552.9590869740446,4.0,28,Italian
Berggasse,Das Kolin,495.1447469651035,4.0,18,International
Alfred-Böhm-Park,ChilleX Shisha Lounge,301.53686608404416,5.0,1,Hookah Bars
Alfred-Böhm-Park,China-Restaurant Jade,359.79827557458026,4.5,4,Chinese
Alfred-Böhm-Park,Pizzeria Monte Laa,378.2683307140048,5.0,1,Pizza
Alfred-Böhm-Park,Magdas Kantine,582.4282903527261,2.0,1,Canteen
Alfred-Böhm-Park,"k u. k Gastronomie, Betriebs",467.79748212173325,5.0,1,Bakeries
Alfred-Böhm-Park,Lucky Noodles,384.47467010875397,2.0,1,Sushi Bars
Altes Landgut U1,Burger King,132.24649671760218,4.0,1,Fast Food
Altes Landgut U1,ChilleX Shisha Lounge,470.8066230731505,5.0,1,Hookah Bars
Altes Landgut U1,McDonald's,313.4168484228331,3.0,1,Fast Food
Altes Landgut U1,Pizzeria Monte Laa,352.71103386049936,5.0,1,Pizza
Altes Landgut U1,"k u. k Gastronomie, Betriebs",319.94968487269836,5.0,1,Bakeries
Bloch-Bauer-Promenade,URBAN's,371.8779855613429,4.0,8,International
Bloch-Bauer-Promenade,Der Mann - Park Cafe,234.4033777549917,5.0,1,Bakeries
Bloch-Bauer-Promenade,Mezzaluna,485.5816989482136,5.0,2,Pizza
Bloch-Bauer-Promenade,Cafe Shelby,537.2575944595802,4.0,2,Cafes
Bloch-Bauer-Promenade,Funkturm,589.5880141451955,3.0,1,Landmarks & Historical Buildings
Hauptbahnhof S U ,Burger Bros,81.17424457331602,4.0,29,Burgers
Hauptbahnhof S U ,15 süße Minuten,202.12781026554185,4.0,42,Cafes
Hauptbahnhof S U ,Columbus Bräu,452.76582126838184,4.0,38,Austrian
