Station Name,Slots,Latitude,Longitude,Venue Name,Distance,Ratings,Review Count,Source,Primary Category
Oper,21,48.202683,16.369702,Plachuttas Gasthaus zur Oper,150.01659009178096,4.0,134,Yelp,Austrian
Oper,21,48.202683,16.369702,Cafe Sacher Wien,136.15932082285565,3.5,296,Yelp,Cafes
Oper,21,48.202683,16.369702,Gerstner,86.25266115129972,4.0,12,Yelp,Patisserie/Cake Shop
Oper,21,48.202683,16.369702,Crossfield's Australian Pub,173.36449681575533,3.5,56,Yelp,Pubs
Oper,21,48.202683,16.369702,Café Mozart,173.1527976289545,3.5,126,Yelp,Cafes
Oper,21,48.202683,16.369702,Gerstner - Schlumberger Bar,66.83270912860614,4.5,36,Yelp,Desserts
Oper,21,48.202683,16.369702,Ristorante San Carlo,97.9780334081744,4.0,18,Yelp,Italian
Oper,21,48.202683,16.369702,Maredo,101.58999520020129,3.5,46,Yelp,Steakhouses
Oper,21,48.202683,16.369702,Restaurant Rote Bar,113.31809948589678,4.5,14,Yelp,Austrian
Oper,21,48.202683,16.369702,Stadtboden,177.5517590676596,4.0,26,Yelp,Brasseries
Oper,21,48.202683,16.369702,Restaurant Nihon Bashi,165.79036952646672,4.5,29,Yelp,Japanese
Oper,21,48.202683,16.369702,Leberkas-Pepi,173.17589954834426,4.5,25,Yelp,Austrian
Oper,21,48.202683,16.369702,At Eight Restaurant & Bar,146.2729752141995,4.0,20,Yelp,Austrian
Oper,21,48.202683,16.369702,Palmenhaus,339.1217912767248,4.0,118,Yelp,Lounges
Oper,21,48.202683,16.369702,Bitzinger,176.56164940541964,4.0,94,Yelp,Curry Sausage
Oper,21,48.202683,16.369702,Bristol Lounge,42.43833405295511,4.0,5,Yelp,Lounges
Oper,21,48.202683,16.369702,Gerstner,83.70246602147583,4.0,34,Yelp,Desserts
Oper,21,48.202683,16.369702,Vapiano,175.27442994841132,3.5,37,Yelp,Italian
Oper,21,48.202683,16.369702,Cafe Oper,9.0,,,FourSquare,Café
Oper,21,48.202683,16.369702,Anker,31.0,,,FourSquare,Bakery
Oper,21,48.202683,16.369702,Restaurant Korso im Bristol Hotel,51.0,,,FourSquare,Restaurant
Oper,21,48.202683,16.369702,Sushi Roll To Go,60.0,,,FourSquare,Sushi Restaurant
Oper,21,48.202683,16.369702,Gerstner K. und K. Hofzuckerbäcker,67.0,,,FourSquare,Café
Oper,21,48.202683,16.369702,Ristorante San Carlo,72.0,,,FourSquare,Italian Restaurant
Oper,21,48.202683,16.369702,Café Testa Rossa - Ringstraßengalerie,90.0,,,FourSquare,Bistro
Oper,21,48.202683,16.369702,Vienna Classic,100.0,,,FourSquare,Music Venue
Oper,21,48.202683,16.369702,Maredo,101.0,,,FourSquare,BBQ Joint
Oper,21,48.202683,16.369702,Cafe Bistro,106.0,,,FourSquare,Café
Volksgarten,15,48.206516,16.3604,Bellaria,100.58025504600668,4.5,19,Yelp,Cafes
Volksgarten,15,48.206516,16.3604,Volksgarten Pavillon,69.62073409093159,4.0,20,Yelp,Cafes
Volksgarten,15,48.206516,16.3604,Glacis Beisl,438.4623983212729,4.0,136,Yelp,Austrian
Volksgarten,15,48.206516,16.3604,I Ragazzi,434.9824454805063,4.5,65,Yelp,Pizza
Volksgarten,15,48.206516,16.3604,Naturhistorisches Museum,150.71635305748788,4.5,83,Yelp,Museums
Volksgarten,15,48.206516,16.3604,KÄUZCHEN,422.40530122693673,4.0,43,Yelp,Austrian
Volksgarten,15,48.206516,16.3604,Volksgarten,191.89567659964877,4.5,26,Yelp,Parks
Volksgarten,15,48.206516,16.3604,Kunsthistorisches Museum,299.02246293801085,4.5,104,Yelp,Museums
Volksgarten,15,48.206516,16.3604,Der Dachboden,422.4748822033964,4.0,71,Yelp,Cafes
Volksgarten,15,48.206516,16.3604,Hofburg,438.03448078566345,4.5,70,Yelp,Landmarks & Historical Buildings
Volksgarten,15,48.206516,16.3604,Das Möbel,465.0427427875077,4.0,71,Yelp,Bars
Volksgarten,15,48.206516,16.3604,MQ Kantine,327.9993556567066,3.5,51,Yelp,Canteen
Volksgarten,15,48.206516,16.3604,MQ daily,362.2675397569333,4.0,37,Yelp,Cafes
Volksgarten,15,48.206516,16.3604,Corbaci,307.0893227281156,4.0,21,Yelp,Cafes
Volksgarten,15,48.206516,16.3604,Anker,33.270220585828085,4.0,3,Yelp,Bakeries
Volksgarten,15,48.206516,16.3604,Asia-Noodle Bude,2.0,,,FourSquare,Snack Place
Volksgarten,15,48.206516,16.3604,Kebap & Pizza World,18.0,,,FourSquare,Pizzeria
Volksgarten,15,48.206516,16.3604,Funny Noodles,26.0,,,FourSquare,Asian Restaurant
Volksgarten,15,48.206516,16.3604,Würstelstand beim Parlament,65.0,,,FourSquare,Buffet
Volksgarten,15,48.206516,16.3604,Pizzeria Senza Danza,69.0,,,FourSquare,Pizzeria
Volksgarten,15,48.206516,16.3604,Muscheldinner Naturhistorisches Museum,103.0,,,FourSquare,Seafood Restaurant
Volksgarten,15,48.206516,16.3604,Kaffeerestaurant Bellaria,108.0,,,FourSquare,Bistro
Volksgarten,15,48.206516,16.3604,Justizpalastkantine,135.0,,,FourSquare,Dining and Drinking
Volksgarten,15,48.206516,16.3604,Café in der Kuppelhalle im Naturhistorischen Museum,179.0,,,FourSquare,Café
Volksgarten,15,48.206516,16.3604,Justizcafe,209.0,,,FourSquare,Dining and Drinking
Taborstraße U2,23,48.219522,16.382218,Pizza Mari,385.0785136696185,4.5,88,Yelp,Pizza
Taborstraße U2,23,48.219522,16.382218,Hammond Bar,172.35959241836167,4.5,22,Yelp,Lounges
Taborstraße U2,23,48.219522,16.382218,Harvest,474.312191139895,4.5,38,Yelp,Vegan
Taborstraße U2,23,48.219522,16.382218,Pancho,85.98886934920633,3.0,38,Yelp,Mexican
Taborstraße U2,23,48.219522,16.382218,Briuni,89.99269993507387,4.0,8,Yelp,Seafood
Taborstraße U2,23,48.219522,16.382218,Tortillería y Antojitos Mexikanos,385.7167784474506,4.0,58,Yelp,Mexican
Taborstraße U2,23,48.219522,16.382218,Leopold,262.4695399897751,4.0,28,Yelp,Gastropubs
Taborstraße U2,23,48.219522,16.382218,Schöne Perle,380.6037418021576,3.5,67,Yelp,Austrian
